User Screen Name,Formatted Tweet,Time Created,
evehunter7,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:34 GMT 2014,
ChrisGriffin92,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:33 GMT 2014,
graemesteele13, result   scottishfa  scoirl,Fri Nov 14 21:39:33 GMT 2014,
CedricMackpayen,  kicktv  scotlan celona  great team goal   scoirl  euro2016qualifiers https   t co 7dcael2cvl,Fri Nov 14 21:39:33 GMT 2014,
StevenSportNews, huge win scotland   they join ireland 7 points group d  game  bring england tuesday  scoirl,Fri Nov 14 21:39:33 GMT 2014,
dv_ly,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:33 GMT 2014,
mslouiseburns,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:33 GMT 2014,
ireland, well  that's pity  scotland 1   0 ireland  bad second half  best team win  going make things complicated   scoirl,Fri Nov 14 21:39:33 GMT 2014,
lloydybhoy90,  scottishfa    scoirl  wearescotland   t co ztchevtapj,Fri Nov 14 21:39:33 GMT 2014,
amcteirnan, not happy   faireland  ft   scottishfa 1 0 ireland   scoirl  coybig,Fri Nov 14 21:39:33 GMT 2014,
Jeni116_,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:33 GMT 2014,
jordangilfoyle8,  scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:32 GMT 2014,
steven_stvn,  mackybhoy1  steven stvn  hope keough sorted x factor morra     scoirl   t co t2ggnf7165,Fri Nov 14 21:39:32 GMT 2014,
RangersFranky, full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland      t co lc3rghufyq,Fri Nov 14 21:39:32 GMT 2014,
